word	pause_before	f0_mean
i	0.0	0.0771
have	0.0	2.8188
been	0.0	2.1732
blown	0.0	0.5225
away	0.0	1.0544
by	0.0	-1.2127
this	0.0	-1.2249
conference	0.33	-1.0331
and	0.33	-2.5624
i	0.0	0.0
want	0.0	-0.3662
to	0.0	0.0
thank	0.0	1.1492
all	0.33	2.2161
of	0.0	-0.2203
you	0.0	-0.5273
for	0.0	-1.2781
the	0.0	0.5487
many	0.0	2.5296
nice	0.0	-0.0199
comments	0.0	-3.513
about	1.8	-4.7083
what	0.0	-1.8045
i	0.0	0.0
had	0.0	-0.7103
to	0.0	0.0
say	0.0	-3.3751
the	0.0	-4.463
other	0.44	-4.1194
night	0.0	-5.3806
